"Year","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,29730.35944,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,10638.84252,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,766.9785284,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,66.5793039,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1443.213277,,-,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,2902.843439,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Pipeline transport","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Domestic navigation","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,106.3671218,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,7.3833991,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Aviation","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.0900293,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,1.0084885,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
"Commerce and public services","Hard coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,52.2557174,,6.3294633,,1.364771,,3.0438269,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,779.5028134,,11.8296138,,13.9873064,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,0.3680374,,171.6837965,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,0.285467,,8.3463431,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,28.185906,,0.1527195,,3.577254,,0.4876417,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,4054.541488,,638.942152,,124.6136529,,98.1232112,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,2506.003089,,-,,5527.063925,,1217.962674,,-,,3786.66509,,0.9857941,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,12603.31819,,79.9027882,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,27.7193073,,-,,4.9276766,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,217.857459,,-,,13.4372777,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,190.2274533,,-,,-,,-,,-,,-,,-,,
"Residential","Hard coal",-,,-,,-,,-,,-,,-,,-,,68.2368911,,-,,-,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,10.2868446,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,48.6855473,,-,,-,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,8.104584,,-,,-,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,852.7221318,,-,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,8.9155509,,-,,-,,-,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,20117.79562,,-,,-,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,3812.511584,,-,,-,,4460.7769,,-,,2519.225578,,-,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,8745.083244,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,913.7057725,,-,,-,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,200.4628022,,-,,-,,-,,-,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,221.2961573,,-,,-,,-,,-,,-,,-,,
"Agriculture","Hard coal",-,,-,,-,,-,,-,,-,,-,,0.1932487,,-,,0.290176,,-,,-,,-,,-,,
,"Brown coal",-,,-,,-,,-,,-,,-,,-,,0.4493185,,-,,-,,-,,-,,-,,-,,
,"Coke",-,,-,,-,,-,,-,,-,,-,,1.1210913,,-,,0.0035914,,-,,-,,-,,-,,
,"Petrol coke",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Fuel oil",-,,-,,-,,-,,-,,-,,-,,6.0178547,,0.0260095,,0.4849171,,-,,-,,-,,-,,
,"Gas oil for heating purposes",-,,-,,-,,-,,-,,-,,-,,1.1042798,,0.0249212,,-,,-,,-,,-,,-,,
,"Diesel",-,,-,,-,,-,,-,,-,,-,,-,,0.0143992,,-,,0.6988763,,27.6005664,,-,,-,,
,"Gasoline",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,0.4441769,,-,,-,,-,,
,"Kerosene",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"LPG",-,,-,,-,,-,,-,,-,,-,,0.8819749,,-,,0.0042698,,0.0259808,,-,,-,,-,,
,"Natural gas",-,,-,,-,,-,,-,,-,,-,,119.3496758,,-,,30.84668,,-,,-,,-,,-,,
,"Electricity",-,,-,,-,,-,,-,,-,,-,,36.7723264,,0.0477791,,0.7606099,,61.1040921,,-,,20.6055374,,0.2890955,,
,"District heat",-,,-,,-,,-,,-,,-,,-,,123.6217554,,-,,-,,-,,-,,-,,-,,
,"Fuel wood",-,,-,,-,,-,,-,,-,,-,,35.6719781,,1.6158195,,20.3118953,,-,,-,,-,,-,,
,"Biofuels",-,,-,,-,,-,,-,,-,,-,,6.0462393,,-,,-,,0.046988,,1.9274278,,-,,-,,
,"Non-renewable waste",-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,
,"Other fuels",-,,-,,-,,-,,-,,-,,-,,2.9881151,,-,,-,,-,,-,,-,,-,,
